# iteration  l2_NN  l2_FF  l2_mFF
1.420000e+04 1.556946e-01 2.539320e-01 1.662632e-01
1.430000e+04 1.533591e-01 2.525236e-01 1.657210e-01
1.440000e+04 1.547973e-01 2.494148e-01 1.705528e-01
1.450000e+04 1.602971e-01 2.521939e-01 1.674518e-01
1.460000e+04 1.550818e-01 2.516165e-01 1.673032e-01
1.470000e+04 1.474771e-01 2.495192e-01 1.685958e-01
1.480000e+04 1.443279e-01 2.488443e-01 1.649494e-01
1.490000e+04 1.430931e-01 2.481044e-01 1.637826e-01
1.500000e+04 1.501962e-01 2.477486e-01 1.659957e-01
1.510000e+04 1.429000e-01 2.475898e-01 1.640596e-01
1.520000e+04 1.483603e-01 2.481850e-01 1.598539e-01
1.530000e+04 1.397073e-01 2.475985e-01 1.595891e-01
1.540000e+04 1.368544e-01 2.491960e-01 1.620646e-01
1.550000e+04 1.428828e-01 2.477139e-01 1.555449e-01
1.560000e+04 1.405639e-01 2.479882e-01 1.602891e-01
1.570000e+04 1.579352e-01 2.467996e-01 1.615387e-01
1.580000e+04 1.367371e-01 2.463532e-01 1.589417e-01
1.590000e+04 1.374407e-01 2.447447e-01 1.587989e-01
1.600000e+04 1.381685e-01 2.467658e-01 1.541884e-01
1.610000e+04 1.261730e-01 2.458064e-01 1.580632e-01
1.620000e+04 1.274784e-01 2.460390e-01 1.558149e-01
1.630000e+04 1.550976e-01 2.449804e-01 1.586814e-01
1.640000e+04 1.253727e-01 2.457877e-01 1.574328e-01
1.650000e+04 1.379478e-01 2.459981e-01 1.543591e-01
1.660000e+04 1.309236e-01 2.440811e-01 1.544550e-01
1.670000e+04 1.291156e-01 2.444118e-01 1.596623e-01
1.680000e+04 1.275250e-01 2.434837e-01 1.531391e-01
1.690000e+04 1.386318e-01 2.413520e-01 1.494631e-01
1.700000e+04 1.425097e-01 2.421134e-01 1.524357e-01
1.710000e+04 1.309223e-01 2.419961e-01 1.512163e-01
1.720000e+04 1.265978e-01 2.420913e-01 1.519808e-01
1.730000e+04 1.186715e-01 2.422049e-01 1.509739e-01
