# iteration  l2_NN  l2_FF  l2_mFF
1.540000e+04 2.652435e+00 3.676507e-01 1.125822e-02
1.550000e+04 2.612702e+00 3.682598e-01 5.218170e-03
1.560000e+04 2.735305e+00 3.668010e-01 1.523147e-02
1.570000e+04 2.734661e+00 3.673326e-01 6.503535e-03
1.580000e+04 2.578453e+00 3.672720e-01 1.178023e-02
1.590000e+04 2.467182e+00 3.667690e-01 6.640273e-03
1.600000e+04 2.610279e+00 3.666691e-01 9.742836e-03
1.610000e+04 2.659330e+00 3.667380e-01 2.858958e-03
1.620000e+04 2.708158e+00 3.679072e-01 1.658543e-02
1.630000e+04 2.676905e+00 3.667296e-01 4.157055e-03
1.640000e+04 2.455769e+00 3.663889e-01 3.282641e-03
1.650000e+04 2.426808e+00 3.663170e-01 5.795022e-03
1.660000e+04 2.127116e+00 3.658482e-01 9.543676e-03
1.670000e+04 1.890735e+00 3.665778e-01 5.054219e-03
1.680000e+04 1.726355e+00 3.660238e-01 1.049233e-02
1.690000e+04 1.770777e+00 3.663201e-01 7.206592e-03
1.700000e+04 1.691755e+00 3.659993e-01 5.728338e-03
1.710000e+04 1.567653e+00 3.654912e-01 4.047572e-03
1.720000e+04 1.600750e+00 3.651918e-01 7.459741e-03
1.730000e+04 1.535069e+00 3.648375e-01 7.183557e-03
1.740000e+04 1.547356e+00 3.636754e-01 5.289176e-03
1.750000e+04 1.467714e+00 3.643243e-01 4.984053e-03
1.760000e+04 1.363671e+00 3.639820e-01 6.655534e-03
1.770000e+04 1.361203e+00 3.633277e-01 1.165693e-02
1.780000e+04 1.379863e+00 3.633949e-01 1.269305e-02
1.790000e+04 1.262675e+00 3.637279e-01 8.638740e-03
1.800000e+04 1.243727e+00 3.631377e-01 3.695635e-03
1.810000e+04 1.246560e+00 3.628678e-01 1.010163e-02
1.820000e+04 1.283841e+00 3.620440e-01 1.709035e-02
1.830000e+04 1.360456e+00 3.625312e-01 8.282290e-03
1.840000e+04 1.403945e+00 3.616675e-01 2.491134e-03
1.850000e+04 1.507331e+00 3.616445e-01 2.660217e-03
1.860000e+04 1.518128e+00 3.616715e-01 3.102733e-03
1.870000e+04 1.505731e+00 3.613219e-01 5.309384e-03
1.880000e+04 1.460645e+00 3.608420e-01 9.378746e-03
1.890000e+04 1.475475e+00 3.612953e-01 6.011913e-03
1.900000e+04 1.564685e+00 3.609357e-01 1.309628e-02
1.910000e+04 1.496183e+00 3.605033e-01 4.645108e-03
1.920000e+04 1.594747e+00 3.602650e-01 9.786753e-03
1.930000e+04 1.579382e+00 3.601358e-01 6.647895e-03
1.940000e+04 1.595122e+00 3.596552e-01 4.283909e-03
1.950000e+04 1.637459e+00 3.591011e-01 9.628428e-03
1.960000e+04 1.660780e+00 3.590066e-01 4.117719e-03
1.970000e+04 1.724542e+00 3.594027e-01 3.630314e-03
1.980000e+04 1.828283e+00 3.586395e-01 1.584046e-03
1.990000e+04 1.793755e+00 3.579075e-01 4.011179e-03
2.000000e+04 1.728883e+00 3.585801e-01 8.226851e-03
2.010000e+04 1.718947e+00 3.581767e-01 8.217864e-03
2.020000e+04 1.830918e+00 3.579336e-01 4.941688e-03
2.030000e+04 1.821527e+00 3.582113e-01 1.806207e-03
2.040000e+04 1.831365e+00 3.574721e-01 1.003759e-02
2.050000e+04 1.869710e+00 3.573309e-01 5.398829e-03
2.060000e+04 1.949301e+00 3.573085e-01 5.485353e-03
2.070000e+04 1.970429e+00 3.568906e-01 3.078865e-03
2.080000e+04 1.934870e+00 3.566125e-01 1.966341e-03
2.090000e+04 1.978114e+00 3.559120e-01 3.385331e-03
2.100000e+04 2.103396e+00 3.559769e-01 1.312268e-03
2.110000e+04 2.072539e+00 3.554559e-01 4.091309e-03
2.120000e+04 2.178946e+00 3.557287e-01 1.059612e-03
2.130000e+04 2.238205e+00 3.550748e-01 3.485989e-03
2.140000e+04 2.258355e+00 3.556077e-01 4.806546e-03
2.150000e+04 2.287984e+00 3.545343e-01 1.067426e-02
2.160000e+04 2.331794e+00 3.543747e-01 4.230380e-03
2.170000e+04 2.443046e+00 3.539507e-01 8.093128e-03
2.180000e+04 2.439871e+00 3.538020e-01 2.861484e-03
2.190000e+04 2.373907e+00 3.536210e-01 2.403941e-03
2.200000e+04 2.384978e+00 3.533309e-01 1.387829e-03
2.210000e+04 2.290296e+00 3.530413e-01 2.586440e-03
